project,DV_MRR,LDA_MRR
astropy,0.046142316151,0.0318386801987
biopython,0.0775722102271,0.349072458556
buildbot,0.0856379563826,0.112809546016
calibre,0.0359957171932,0.0874319799082
cherrypy,0.0584402777121,0.34476426398
cinder,0.155784563165,0.249026293845
django,0.113113328692,0.0213274533349
emesene,0.0362857129738,0.166720861434
EventGhost,0.0825811359284,0.205969814724
exaile,0.0850743219353,0.285127884985
globaleaks,0.0400579317709,0.158254889687
gramps,0.0711598429643,0.0459110504989
gtg,0.284087763012,0.390277777778
heat,0.0733610120965,0.0203471136705
ipython,0.049641407681,0.148502847388
kivy,0.0562945781866,0.12711872641
magnum,0.0489533965352,0.0811210120484
mailman,0.0328088579344,0.155715943882
manila,0.0749366011654,0.126413215768
matplotlib,0.0580480230636,0.218405242057
miro,0.16277672627,0.364204170141
networkx,0.072774247937,0.377093746566
neutron,0.0564764840117,0.0474507342355
nova,0.069230556457,0.332473875729
numpy,0.0701641324746,0.174622874038
pathomx,0.0487976523757,0.155631935639
Pillow,0.0300662125159,0.374845404677
pip,0.0694923069783,0.0213440280239
portage,0.110235127729,0.0461313732653
pygame,0.0469204445749,0.149391612349
pyramid,0.0208068378106,0.047750326203
Pyro4,0.0864574081618,0.342778904821
python-api,0.157653245281,0.160225137474
quodlibet,0.0427266727199,0.373069767697
sabnzbd,0.117656748841,0.251949655073
sage,0.101035094175,0.0357492453849
scikit-image,0.0397704720727,0.197556839194
scikit-learn,0.0578608213102,0.179594904805
sympy,0.11927226039,0.145606254482
tg2,0.154135069115,0.12013957084
tornado,0.087038781328,0.442374360667
trac,0.0388252041895,0.0903071769542
tryton,0.0460832600113,0.386359673572
twisted,0.0379396912671,0.160057162656
veusz,0.0436045426742,0.37630971742
VisTrails,0.0312231004028,0.063645344118
vpython-wx,0.0509811811753,0.385019407574
web2py,0.0460457896171,0.0603682863348
wxPython,0.0271235274268,0.0793175708268
Zope,0.057990420081,0.139760253866
