project,DV_MRR,LDA_MRR
ActionBarSherlock,0.0822601755643,0.278155966035
AndEngine,0.119452677724,0.441535372905
android,0.105611313756,0.257978389916
android-actionbar,0.547619047619,0.696428571429
android-app,0.155704466676,0.403035899695
android-async-http,0.106199297883,0.366117569016
android-flip,0.377859477124,0.707264957265
android-menudrawer,0.148139579719,0.628273809524
Android-PullToRefresh,0.248380020161,0.492516890517
Android-Universal-Image-Loader,0.175163910914,0.479791881527
Android-ViewPagerIndicator,0.184053882586,0.445659669005
android_build,0.176563007023,0.415032637451
android_packages_apps_Settings,0.340647343764,0.645255152646
Anki-Android,0.180190924776,0.430424669426
Arduino,0.208842027197,0.353017075198
astrid,0.114399560682,0.13394236971
Bukkit,0.174708943209,0.346478063586
clojure,0.06850139069,0.35982140104
cw-advandroid,0.171821114235,0.36835540075
cw-android,0.186456643208,0.299632574761
cw-omnibus,0.0684849225977,0.103466088465
elasticsearch,0.135950162977,0.228152189146
eoe-android-app,0.163339022988,0.330867688556
Essentials,0.19732252487,0.330983002997
facebook-android-sdk,0.0457357952605,0.210778187608
gephi,0.0372160310975,0.162782422452
grails-core,0.0441015115762,0.144105237976
GreenDroid,0.354461833867,0.582423533522
hadoop-common,0.0297848151259,0.187702557178
hibernate-orm,0.0707093796278,0.0469163315643
HoloEverywhere,0.140077082054,0.218352794054
hudson,0.0906663828506,0.18899604978
JSON-java,0.139567835329,0.442121636533
junit,0.0848932045406,0.3228511381
k-9,0.0998045799516,0.269433496078
libgdx,0.160710633574,0.373720935743
liferay-plugins,0.0327130773438,0.16588300725
netty,0.146275262084,0.453121813519
phonegap-plugins,0.126566508215,0.490640215941
platform_frameworks_base,0.083362668809,0.190876195898
scribe-java,0.150924435481,0.35962172794
SlidingMenu,0.0477411477411,0.733333333333
spring-framework,0.110944397192,0.331526981045
spring-mvc-showcase,0.211183517488,0.542113946452
springside4,0.207242158737,0.315764125013
storm,0.178473231962,0.447320405814
vert.x,0.126193807044,0.275081928931
wildfly,0.0158969763498,0.10121883873
