project,DV_MRR,LDA_MRR
ActionBarSherlock,0.0617562553273,0.287901220488
AndEngine,0.114257153501,0.451424711514
android,0.0906182970605,0.285387458459
android-actionbar,0.610119047619,0.705357142857
android-app,0.106267358857,0.451547146165
android-async-http,0.114862057265,0.346849960968
android-flip,0.295133878467,0.727777777778
android-menudrawer,0.203531693561,0.516341341341
Android-PullToRefresh,0.250375569211,0.396402771315
Android-Universal-Image-Loader,0.143867657107,0.459182543225
Android-ViewPagerIndicator,0.222034200518,0.459312724313
android_build,0.128378141207,0.493056034416
android_packages_apps_Settings,0.128158664613,0.678009229825
Anki-Android,0.102552293225,0.458439393716
Arduino,0.0671249693937,0.301601049891
astrid,0.0708631805099,0.259377739842
bigbluebutton,0.0513729832176,0.14395662055
Bukkit,0.130289322926,0.329207784178
clojure,0.0222193143967,0.418417376094
cw-advandroid,0.158209691978,0.370425626866
cw-android,0.120949355672,0.369511296252
cw-omnibus,0.0322847765078,0.093685380719
elasticsearch,0.124422544743,0.220102156358
eoe-android-app,0.110007671771,0.32872292623
Essentials,0.0433306585325,0.345625221984
facebook-android-sdk,0.0534003978779,0.165119084932
game-of-life,0.260000011277,0.160948128382
gephi,0.0155536211246,0.100263985784
grails-core,0.0183786452772,0.154784660308
GreenDroid,0.266224036331,0.555847348637
hadoop-common,0.0328612308539,0.102688997152
hibernate-orm,0.0279082998856,0.0902635080171
HoloEverywhere,0.0622244867905,0.208015243608
hudson,0.0647199783691,0.213366176936
JSON-java,0.207773912018,0.578899958229
junit,0.0663371927129,0.355674517083
k-9,0.0909885562566,0.258282736929
libgdx,0.0512894713839,0.415957156324
liferay-plugins,0.0389652303543,0.217178345334
netty,0.134589911373,0.310457009766
phonegap-plugins,0.0686544779573,0.543331228776
platform_frameworks_base,0.100237536655,0.221477890121
scribe-java,0.127352969307,0.372846017447
SlidingMenu,0.5,0.679012345679
spring-framework,0.0860905038308,0.317269509759
spring-mvc-showcase,0.175903571509,0.564272399411
springside4,0.143612743488,0.371550349157
storm,0.071513181286,0.533656557654
vert.x,0.059781361078,0.307405928333
wildfly,0.0142164589307,0.0632651688972
